12:22:48,798  INFO DruidDataSource:2029 - {dataSource-0} closing ...
12:24:04,368  INFO DruidDataSource:2029 - {dataSource-0} closing ...
12:32:04,854  INFO DruidDataSource:2029 - {dataSource-0} closing ...
12:58:52,626  INFO DruidDataSource:2029 - {dataSource-0} closing ...
13:03:10,692  INFO DruidDataSource:2029 - {dataSource-0} closing ...
13:05:33,982  INFO DruidDataSource:2029 - {dataSource-0} closing ...
14:24:39,955  INFO DruidDataSource:2029 - {dataSource-0} closing ...
17:00:03,026  INFO DruidDataSource:2029 - {dataSource-0} closing ...
17:10:23,147  INFO DruidDataSource:2029 - {dataSource-0} closing ...
19:01:50,263  INFO DruidDataSource:2029 - {dataSource-0} closing ...
20:07:46,881  INFO LoginCtroller:317 - org.apache.shiro.authc.AuthenticationException: Authentication failed for token submission [com.dcampus.sys.security.HtmlUsernamePasswordToken - root, rememberMe=false].  Possible unexpected error? (Typical or expected login exceptions should extend from AuthenticationException).
20:13:36,638  INFO LoginCtroller:321 - org.apache.shiro.authc.AuthenticationException: Authentication failed for token submission [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false].  Possible unexpected error? (Typical or expected login exceptions should extend from AuthenticationException).
20:16:47,484  INFO LoginCtroller:321 - org.apache.shiro.authc.AuthenticationException: Authentication failed for token submission [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false].  Possible unexpected error? (Typical or expected login exceptions should extend from AuthenticationException).
20:18:35,827  INFO LoginCtroller:321 - org.apache.shiro.authc.AuthenticationException: Authentication failed for token submission [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false].  Possible unexpected error? (Typical or expected login exceptions should extend from AuthenticationException).
20:20:15,974  INFO LoginCtroller:321 - org.apache.shiro.authc.AuthenticationException: Authentication failed for token submission [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false].  Possible unexpected error? (Typical or expected login exceptions should extend from AuthenticationException).
15:34:34,924 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:34:35,057 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:34:35,337 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:35:08,051 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:35:11,044 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:42:38,189 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:42:38,255 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:42:38,424 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:43:57,323 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:43:57,372 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:43:57,420 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:47:39,815 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:47:39,874 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:47:39,966 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
